traditions@environment.@{'weight': 1}
traditions@honest@{'weight': 1}
traditions@pollution@{'weight': 1}
traditions@Diwali@{'weight': 1}
traditions@Deepavali@{'weight': 1}
traditions@Deepawali@{'weight': 1}
traditions@HappyDiwali@{'weight': 1}
traditions@HappyDeepavali@{'weight': 1}
traditions@HappyDeepawali@{'weight': 1}
traditions@Culture@{'weight': 1}
traditions@Hindu@{'weight': 1}
traditions@Hinduism@{'weight': 1}
traditions@AstrologyMagic@{'weight': 1}
environment.@honest@{'weight': 1}
environment.@pollution@{'weight': 3}
environment.@Diwali@{'weight': 1}
environment.@Deepavali@{'weight': 1}
environment.@Deepawali@{'weight': 1}
environment.@HappyDiwali@{'weight': 1}
environment.@HappyDeepavali@{'weight': 1}
environment.@HappyDeepawali@{'weight': 1}
environment.@Culture@{'weight': 1}
environment.@Hindu@{'weight': 1}
environment.@Hinduism@{'weight': 1}
environment.@AstrologyMagic@{'weight': 1}
environment.@WorldBicycleDay🚴🏻\u200d♀️@{'weight': 2}
environment.@cycling@{'weight': 2}
environment.@जागतिक_सायकल_दिन@{'weight': 2}
honest@pollution@{'weight': 1}
honest@Diwali@{'weight': 1}
honest@Deepavali@{'weight': 1}
honest@Deepawali@{'weight': 1}
honest@HappyDiwali@{'weight': 1}
honest@HappyDeepavali@{'weight': 1}
honest@HappyDeepawali@{'weight': 1}
honest@Culture@{'weight': 1}
honest@Hindu@{'weight': 1}
honest@Hinduism@{'weight': 1}
honest@AstrologyMagic@{'weight': 1}
pollution@Diwali@{'weight': 4}
pollution@Deepavali@{'weight': 1}
pollution@Deepawali@{'weight': 1}
pollution@HappyDiwali@{'weight': 1}
pollution@HappyDeepavali@{'weight': 1}
pollution@HappyDeepawali@{'weight': 1}
pollution@Culture@{'weight': 1}
pollution@Hindu@{'weight': 1}
pollution@Hinduism@{'weight': 1}
pollution@AstrologyMagic@{'weight': 1}
pollution@Delhi@{'weight': 13}
pollution@Diwali2021@{'weight': 2}
pollution@airpollution@{'weight': 12}
pollution@gogreen@{'weight': 11}
pollution@saveearth@{'weight': 10}
pollution@alert@{'weight': 3}
pollution@NewDelhi@{'weight': 1}
pollution@ArvindKejriwal@{'weight': 4}
pollution@Capitalofindia@{'weight': 1}
pollution@stubbleburning@{'weight': 1}
pollution@thermalpower@{'weight': 1}
pollution@Indian@{'weight': 1}
pollution@subsidizes@{'weight': 1}
pollution@Beef@{'weight': 1}
pollution@crackers.@{'weight': 1}
pollution@secularism.@{'weight': 1}
pollution@healthiswealth@{'weight': 2}
